title_year,imdb_score,color,num_critic_for_reviews,duration,director_facebook_likes,Director_Credits,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,actor_2_facebook_likes,movie_facebook_likes,budget,Movie_Rating
2010,4.9,Color,293,124,171,10000,21000,52547,3,498,English,USA,17000,29000,68000000,3.01E+08
2010,7.7,Color,304,87,275,975,7000,11608,0,296,English,USA,2000,31000,69000000,2.52E+08
2009,7.9,Color,723,178,0,855,1000,4834,0,3054,English,USA,936,33000,2.37E+08,7.61E+08
2009,7.5,Color,375,153,282,10000,25000,58753,3,973,English,UK,11000,10000,2.50E+08,3.02E+08
2009,6,Color,366,150,0,464,894,3218,0,1439,English,USA,581,0,2.00E+08,4.02E+08
2009,6.6,Color,422,118,368,988,23000,27468,0,974,English,USA,3000,0,2.00E+08,1.25E+08
2009,5.8,Color,367,158,776,310,1000,2144,0,1055,English,USA,468,13000,2.00E+08,1.66E+08
2009,6.8,Color,240,96,0,10000,18000,48878,0,249,English,USA,14000,0,2.00E+08,1.38E+08
2009,8.3,Color,408,96,0,262,1000,2635,1,704,English,USA,848,27000,1.75E+08,2.93E+08
2009,6.5,Color,219,94,11,459,1000,2579,2,187,English,USA,973,0,1.75E+08,1.98E+08
2009,5.8,Color,250,118,208,570,23000,26683,4,534,English,USA,2000,0,1.75E+08,1.50E+08
2009,5.9,Color,185,105,189,1000,49000,54039,2,209,English,USA,3000,2000,1.50E+08,1.77E+08
2009,6.7,Color,350,119,151,2000,20000,40054,0,641,English,USA,16000,0,1.50E+08,1.80E+08
2009,6.7,Color,298,146,2000,294,15000,16948,2,435,English,USA,745,0,1.50E+08,1.33E+08
2009,5.1,Color,145,88,12,182,730,2217,0,90,English,USA,607,0,1.50E+08,1.19E+08
2009,8,Color,518,127,14000,981,26000,39284,0,1559,English,USA,12000,19000,1.50E+08,2.58E+08
2009,7.7,Color,451,215,0,413,986,2530,1,1229,English,USA,745,18000,1.30E+08,1.08E+08
2009,7.1,Color,228,97,63,525,852,2480,0,214,English,USA,578,5000,1.05E+08,1.04E+08
2009,7,Color,357,140,0,1000,40000,64599,1,585,English,USA,23000,0,1.00E+08,97030725
2009,6.4,Color,267,106,12000,385,18000,19906,1,285,English,USA,464,0,1.00E+08,65452312
2009,6.8,Color,333,101,0,279,925,1738,0,388,English,Germany,468,11000,1.00E+08,77222184
2009,5.4,Color,167,102,52,526,8000,10552,1,224,English,USA,735,0,1.00E+08,49392095
2009,6.7,Color,308,135,0,310,873,2370,1,593,English,USA,560,16000,65000000,43982842
2009,7,Color,191,90,97,56,622,1227,1,156,English,USA,526,0,1.00E+08,1.25E+08
2009,7,Color,188,94,107,117,835,1258,0,132,English,USA,256,0,90000000,1.97E+08
2009,7.6,Color,415,128,0,727,21000,23996,3,621,English,USA,979,20000,90000000,2.09E+08
2009,6.6,Color,187,120,278,963,11000,15226,2,214,English,USA,2000,0,85000000,1.13E+08
2009,6.3,Color,258,89,84,1000,13000,18132,5,252,English,USA,1000,0,80000000,38542418
2009,5.8,Black and White,205,118,252,30,529,619,4,232,English,USA,48,0,80000000,19673424
2009,7.8,Color,113,104,63,7,67,152,0,42,French,France,63,0,40000000,19406406
2009,5.4,Color,107,100,87,446,3000,5174,4,57,English,USA,576,1000,35000000,73023275
2009,6.4,Color,230,153,0,130,11000,11852,1,301,English,USA,561,0,75000000,51814190
2009,8.3,Color,486,153,16000,11000,13000,36741,1,1527,English,USA,11000,42000,75000000,1.21E+08
2009,4.5,Color,107,88,84,1000,1000,5227,0,98,English,USA,1000,2000,75000000,2.20E+08
2009,7.2,Color,180,141,448,334,614,1829,2,172,English,Spain,451,29000,70000000,617840
2009,6.3,Color,138,94,42,668,12000,23365,1,77,English,Hong Kong,9000,0,65000000,19548064
2009,5.5,Color,166,113,0,721,4000,8172,6,144,English,USA,722,0,60000000,1.09E+08
2009,7.3,Color,136,111,197,6,433,679,0,223,English,USA,208,0,60000000,71844424
2009,7.7,Black and White,310,100,253,57,309,647,1,279,English,USA,229,10000,60000000,75280058
2009,4.9,Color,170,100,11000,485,10000,12258,2,203,English,USA,1000,0,60000000,43337279
2009,7.4,Color,306,134,16000,204,13000,24458,1,259,English,USA,11000,23000,60000000,37479778
